category,group_type,group_value,value,unit
elderly_care_homes: 1,c19_experience,"No, I have not had COVID-19",6.59,percent
elderly_care_homes: 2,c19_experience,"Yes, I tested positive for COVID-19",11.0,percent
elderly_care_homes: 2,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",3.5,percent
elderly_care_homes: 2,c19_experience,"No, I have not had COVID-19",11.32,percent
elderly_care_homes: 3,c19_experience,"Yes, I tested positive for COVID-19",10.96,percent
elderly_care_homes: 3,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",11.96,percent
elderly_care_homes: 3,c19_experience,"No, I have not had COVID-19",10.33,percent
elderly_care_homes: 4,c19_experience,"Yes, I tested positive for COVID-19",11.65,percent
elderly_care_homes: 4,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",13.56,percent
elderly_care_homes: 4,c19_experience,"No, I have not had COVID-19",11.22,percent
elderly_care_homes: 5,c19_experience,"Yes, I tested positive for COVID-19",14.43,percent
elderly_care_homes: 5,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",15.82,percent
elderly_care_homes: 5,c19_experience,"No, I have not had COVID-19",12.31,percent
elderly_care_homes: 6,c19_experience,"Yes, I tested positive for COVID-19",10.12,percent
elderly_care_homes: 6,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",15.96,percent
elderly_care_homes: 6,c19_experience,"No, I have not had COVID-19",8.99,percent
elderly_care_homes: 7,c19_experience,"Yes, I tested positive for COVID-19",9.84,percent
elderly_care_homes: 7,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",8.53,percent
elderly_care_homes: 7,c19_experience,"No, I have not had COVID-19",10.76,percent
elderly_care_homes: 8,c19_experience,"Yes, I tested positive for COVID-19",9.68,percent
elderly_care_homes: 8,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",9.35,percent
elderly_care_homes: 8,c19_experience,"No, I have not had COVID-19",11.12,percent
elderly_care_homes: 9,c19_experience,"Yes, I tested positive for COVID-19",4.27,percent
elderly_care_homes: 9,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",9.3,percent
elderly_care_homes: 9,c19_experience,"No, I have not had COVID-19",4.71,percent
elderly_care_homes: Extremely satisfied,c19_experience,"Yes, I tested positive for COVID-19",2.4,percent
elderly_care_homes: Extremely satisfied,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",1.17,percent
elderly_care_homes: Extremely satisfied,c19_experience,"No, I have not had COVID-19",2.38,percent
school_aged_children: Extremely dissatisfied,c19_experience,"Yes, I tested positive for COVID-19",3.87,percent
school_aged_children: Extremely dissatisfied,c19_experience,"No, I have not had COVID-19",2.95,percent
school_aged_children: 1,c19_experience,"Yes, I tested positive for COVID-19",3.69,percent
school_aged_children: 1,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",1.9,percent
school_aged_children: 1,c19_experience,"No, I have not had COVID-19",2.33,percent
school_aged_children: 2,c19_experience,"Yes, I tested positive for COVID-19",7.73,percent
school_aged_children: 2,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",9.08,percent
school_aged_children: 2,c19_experience,"No, I have not had COVID-19",5.04,percent
school_aged_children: 3,c19_experience,"Yes, I tested positive for COVID-19",7.32,percent
school_aged_children: 3,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",4.98,percent
school_aged_children: 3,c19_experience,"No, I have not had COVID-19",8.86,percent
school_aged_children: 4,c19_experience,"Yes, I tested positive for COVID-19",9.68,percent
school_aged_children: 4,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",10.1,percent
school_aged_children: 4,c19_experience,"No, I have not had COVID-19",11.05,percent
school_aged_children: 5,c19_experience,"Yes, I tested positive for COVID-19",16.61,percent
school_aged_children: 5,c19_experience,"Yes, I think I had COVID-19 but was not tested/did not test positive",16.29,percent
school_aged_children: 5,c19_experience,"No, I have not had COVID-19",16.77,percent
school_aged_children: 6,c19_experience,"Yes, I tested positive for COVID-19",15.4,percent
